palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
frío, adjetivo, cold, I prefer my coffee cold., 冷たい, つめたい, 私はコーヒーを冷たい状態で飲むのが好きです。, わたしはこーひーをつめたいじょうたいでのむのがすきです。
amargo, adjetivo, bitter, His coffee was too bitter for her taste., 苦い, にがい, 彼のコーヒーは彼女の好みに合わないほど苦かった。, かれのこーひーはかのじょのこのみにあわないほどにがかった。
dulce, adjetivo, sweet, She likes her coffee extra sweet., 甘い, あまい, 彼女はコーヒーをとても甘くするのが好きです。, かのじょはこーひーをとてもあまくするのがすきです。
especiado, adjetivo, spiced, The café serves a delicious spiced latte., スパイス入り, すぱいすいり, そのカフェはおいしいスパイス入りのラテを提供しています。, そのかふぇはおいしいすぱいすいりのらてをていきょうしています。
espresso doble, sustantivo, double espresso, He ordered an double espresso for extra energy., ダブルエスプレッソ, だぶるえすぷれっそ, 彼はエネルギーを補給するためにダブルエスプレッソを注文しました。, かれはえねるぎーをほきゅうするためにだぶるえすぷれっそをちゅうもんしました。
vaso, sustantivo, glass, She prefers her coffee in a glass instead of a cup., グラス, ぐらす, 彼女はカップの代わりにグラスでコーヒーを飲むことを好みます。, かのじょはかっぷのかわりにぐらすでこーひーをのむことをこのみます。
sorbete, sustantivo, straw, Can I have a straw for my iced coffee?, ストロー, すとろー, アイスコーヒー用のストローをもらえますか？, あいすこーひーようのすとろーをもらえますか？
esencia, sustantivo, essence, The café captures the essence of European coffee culture., エッセンス, えっせんす, そのカフェはヨーロッパのコーヒー文化のエッセンスを捉えています。, そのかふぇはよーろっぱのこーひーぶんかのえっせんすをとらえています。
amabilidad, sustantivo, kindness, The café staff treated us with great kindness., 親切, しんせつ, カフェのスタッフは私たちをとても親切に扱ってくれました。, かふぇのすたっふはわたしたちをとてもしんせつにあつかってくれました。
rincón, sustantivo, corner, They found a cozy corner in the café to sit and chat., コーナー, こーなー, 彼らはカフェで座って話す居心地の良い角を見つけました。, かれらはかふぇですわってはなすいごちのよいかどをみつけました。
plantilla, sustantivo, template, The café has a template for decorating cappuccinos., テンプレート, てんぷれーと, そのカフェにはカプチーノを飾るためのテンプレートがあります。, そのかふぇにはかぷちーのをかざるためのてんぷれーとがあります。
atmósfera, sustantivo, atmosphere, The café has a relaxing atmosphere., 雰囲気, ふんいき, そのカフェにはリラックスできる雰囲気があります。, そのかふぇにはりらっくすできるふんいきがあります。
origen, sustantivo, origin, They discussed the origin of different coffee beans., 起源, きげん, 彼らは異なるコーヒー豆の起源について話し合いました。, かれらはことなるこーひーまめのきげんについてはなしあいました。
familiar, adjetivo, familiar, The café has a familiar vibe., 親しみやすい, したしみやすい, そのカフェは親しみやすい雰囲気があります。, そのかふぇはしたしみやすいふんいきがあります。
invitado, sustantivo, guest, We had a special guest at the café today., ゲスト, げすと, 今日はカフェに特別なゲストがいました。, きょうはかふぇにとくべつなげすとがいました。
